50
8,-39,-28,0.407
13,-22,61,0.516
1,-84,44,0.002
23,0,12,0.336
5,45,-10,0.764
10,-95,65,0.225
1,-46,-82,0.458
6,10,73,0.422
15,-15,82,0.889
11,-81,-27,0.28
12,-68,-55,0.921
13,-24,19,0.534
6,44,-25,0.355
7,78,-10,0.873
14,-25,21,0.699
4,-62,-38,0.075
15,1,-60,0.167
9,85,-83,0.586
6,-83,-46,0.195
14,-63,2,0.801
10,45,45,0.405
22,-92,19,0.539
15,19,3,0.373
20,-32,12,0.842
15,83,-26,0.382
1,31,67,0.76
14,-69,61,0.383
20,-60,-21,0.938
10,6,35,0.533
13,17,-13,0.233
7,-29,-93,0.94
21,32,24,0.878
22,-3,-12,0.747
14,53,66,0.782
1,-71,72,0.679
10,-58,14,0.662
16,28,52,0.269
4,35,-56,0.671
17,-48,-68,0.133
16,69,-8,0.417
1,89,-41,0.168
21,-54,31,0.42
18,-19,-3,0.304
6,94,29,0.666
21,50,-42,0.055
13,-29,15,0.912
11,9,-42,0.401
15,-95,-54,0.187
18,-63,33,0.559
5,-63,-28,0.782
4345
