50
17,-16,-45,0.069
15,-83,-71,0.433
9,78,-32,0.779
2,84,-27,0.563
2,91,94,0.614
3,-45,-43,0.294
15,-10,53,0.136
9,-41,66,0.594
2,32,-24,0.7
8,-60,8,0.561
9,79,41,0.807
17,-67,5,0.757
14,-14,71,0.692
11,81,-82,0.712
14,77,19,0.281
8,-42,-18,0.642
4,30,19,0.371
1,7,50,0.999
11,-73,-63,0.776
10,-30,-41,0.444
2,17,42,0.026
2,16,86,0.726
11,56,80,0.955
6,95,84,0.896
4,-1,14,0.218
14,83,70,0.913
19,16,93,0.895
13,-37,84,0.578
13,-46,-62,0.719
2,3,14,0.057
8,-84,69,0.177
5,-93,71,0.608
14,34,85,0.337
15,-24,-41,0.229
16,36,95,0.735
5,-90,-76,0.673
1,-65,22,0.25
9,-73,-74,0.204
8,2,19,0.809
5,-41,28,0.448
12,42,-57,0.841
15,11,47,0.956
16,30,15,0.459
18,-42,-16,0.055
1,-84,-24,0.321
3,-25,89,0.41
9,-78,-59,0.142
1,19,94,0.534
6,-21,95,0.676
3,82,92,0.289
1375
