50
8,-77,7,0.767
5,-8,-26,0.833
8,-93,-4,0.822
6,2,-11,0.803
3,73,-14,0.678
2,17,-92,0.867
1,-72,92,0.222
6,85,-24,0.863
9,12,56,0.921
8,11,15,0.275
8,-89,-88,0.031
6,36,-100,0.449
2,-61,-83,0.266
9,12,-78,0.862
9,-52,-98,0.289
9,-39,39,0.4
6,89,28,0.144
6,-81,43,0.684
2,13,-2,0.488
1,-16,-60,0.718
1,-63,62,0.751
5,-41,30,0.218
2,-95,31,0.598
3,86,10,0.726
9,-13,40,0.089
8,-2,18,0.86
3,97,-19,0.814
4,88,70,0.432
9,62,-84,0.953
1,-63,-56,0.213
3,-13,25,0.601
5,-51,91,0.399
1,53,17,0.491
9,-81,-67,0.082
2,44,-48,0.394
4,-90,21,0.255
9,10,53,0.478
8,-20,-76,0.243
3,12,-44,0.073
2,10,-60,0.002
6,42,87,0.116
8,-53,-40,0.006
3,-53,-37,0.254
7,36,-99,0.621
1,51,19,0.654
9,54,-68,0.062
2,-60,-45,0.02
2,59,100,0.24
5,-5,97,0.026
5,98,48,0.252
21052
