50
4,-3,-43,0.276
3,11,-82,0.999
4,93,42,0.286
2,46,-53,0.161
2,39,-10,0.322
3,60,-30,0.158
4,-95,75,0.672
2,-74,36,0.479
2,99,16,0.32
3,-55,-65,0.599
1,-14,51,0.982
3,6,-14,0.555
1,-80,-30,0.241
1,28,96,0.242
1,-40,-72,0.358
4,64,52,0.918
3,45,40,0.923
3,44,-65,0.241
3,51,20,0.813
1,62,-23,0.638
3,86,-26,0.92
4,-56,-91,0.581
1,-13,37,0.53
1,-76,-13,0.68
4,81,4,0.969
2,-7,-17,0.423
1,-85,-35,0.894
2,21,-94,0.128
1,35,82,0.073
4,82,-62,0.78
2,59,-69,0.85
4,78,-59,0.468
4,-79,-59,0.515
3,97,-7,0.183
2,-100,-86,0.696
1,-32,41,0.015
1,63,-94,0.781
4,75,-21,0.773
1,-90,-40,0.633
2,78,-7,0.723
3,-15,-17,0.585
2,36,-55,0.956
2,-71,-70,0.168
3,-50,-52,0.108
2,-8,42,0.109
3,87,-44,0.744
3,-18,-49,0.716
3,90,31,0.307
2,-31,51,0.762
1,71,-40,0.398
7959
