100
15,-55,60,0.637
10,6,49,0.54
3,-18,-92,0.039
14,66,-79,0.388
13,-17,16,0.561
1,-97,20,0.248
8,84,-69,0.526
16,54,95,0.059
12,-56,-23,0.859
12,11,-81,0.708
5,-59,-38,0.501
18,13,-13,0.304
8,-78,53,0.48
6,51,-36,0.577
3,-46,2,0.666
17,-54,-12,0.66
10,-27,-50,0.886
2,89,-65,0.526
6,53,-46,0.582
4,-20,40,0.602
12,97,-57,0.421
2,-26,57,0.204
8,3,71,0.998
7,-54,-53,0.196
2,5,-63,0.572
24,84,-17,0.19
17,100,-15,0.418
22,61,-48,0.914
11,-82,88,0.404
20,89,15,0.936
19,-20,-100,0.6
12,54,-37,0.444
22,-100,83,0.79
3,76,52,0.576
11,-10,-79,0.863
15,-13,49,0.939
17,82,64,0.754
24,-23,-18,0.411
18,36,-22,0.363
2,-79,97,0.813
11,-72,48,0.848
17,-92,-54,0.376
10,38,61,0.506
22,-8,94,0.665
9,-48,-12,0.101
9,-97,0,0.808
4,35,-69,0.57
22,5,-60,0.646
14,92,-43,0.108
21,-81,-86,0.501
23,7,60,0.085
21,-30,-31,0.252
13,-39,78,0.695
12,-87,66,0.468
11,43,63,0.258
13,90,-75,0.938
9,-79,39,0.445
8,88,-48,0.835
21,-64,-93,0.415
7,-27,-68,0.775
20,34,54,0.885
3,-100,53,0.127
4,9,-98,0.369
10,-65,19,0.708
21,-2,-43,0.276
16,-87,-95,0.292
17,-39,-89,0.4
10,-48,36,0.513
2,-89,-48,0.696
23,-5,87,0.699
4,-11,-92,0.117
14,38,-4,0.713
6,3,76,0.133
20,10,82,0.903
9,-98,-57,0.386
21,-12,-27,0.142
14,-52,97,0.969
13,-56,29,0.108
18,66,-78,0.266
6,15,-24,0.329
12,-43,-38,0.896
5,-1,-30,0.363
7,-46,54,0.16
2,-7,-53,0.03
21,1,-53,0.64
17,95,95,0.739
1,-7,-46,0.997
24,-26,7,0.174
22,32,-88,0.093
22,-18,-21,0.054
5,-61,-70,0.113
4,-64,-31,0.77
1,-73,-19,0.353
5,99,21,0.46
20,64,47,0.854
13,51,80,0.508
22,43,-22,0.909
21,72,16,0.056
16,32,32,0.703
10,14,-67,0.263
121144
