100
8,59,21,0.815
3,-45,9,0.834
4,-93,86,0.928
9,58,68,0.031
7,-51,-63,0.255
1,-50,51,0.83
1,-80,67,0.898
1,-97,86,0.179
9,-45,-49,0.043
6,-15,-87,0.158
7,-67,-83,0.426
1,24,-72,0.081
1,-88,-32,0.19
3,66,-77,0.492
2,-33,-33,0.457
6,20,-35,0.247
9,94,1,0.19
9,18,-36,0.144
2,67,39,0.603
8,22,-66,0.052
9,84,52,0.481
1,-80,-62,0.009
8,77,25,0.343
4,-60,66,0.166
5,-66,1,0.161
5,92,64,0.349
9,-33,-89,0.087
4,17,91,0.948
8,-51,33,0.771
5,-86,-69,0.256
9,-84,-62,0.143
9,-97,-49,0.887
6,21,-40,0.276
9,-58,-98,0.345
5,60,77,0.596
5,-34,88,0.103
7,-59,65,0.226
9,-27,-88,0.139
4,-19,-56,0.585
2,-91,-5,0.877
8,-82,71,0.034
8,-55,63,0.503
5,54,-41,0.38
3,-91,18,0.374
3,78,74,0.672
2,57,32,0.47
2,-68,73,0.572
1,6,31,0.044
4,34,-56,0.254
8,-24,16,0.266
9,-1,-88,0.556
6,-80,30,0.861
3,53,49,0.569
4,-81,-4,0.612
5,-38,-37,0.401
9,-59,-49,0.769
6,-15,99,0.712
7,35,90,0.475
2,56,23,0.211
5,39,-42,0.617
4,-7,-7,0.606
1,40,-24,0.832
7,-67,19,0.673
4,87,-50,0.161
2,-87,-64,0.091
1,-89,-73,0.396
4,-96,48,0.888
7,-88,15,0.263
3,-86,-49,0.813
7,19,38,0.224
6,-93,-76,0.729
4,-25,85,0.548
7,-28,24,0.879
7,-45,-12,0.119
3,63,1,0.144
3,72,-14,0.07
5,47,25,0.764
1,-57,2,0.377
3,81,-96,0.465
7,-22,-89,0.843
7,-5,-38,0.595
8,78,-92,0.889
2,10,64,0.227
7,47,25,0.857
7,-71,8,0.639
4,-3,-9,0.727
2,-54,99,0.309
1,-20,41,0.64
9,-67,-37,0.618
2,-50,-73,0.743
4,-54,-38,0.497
8,37,17,0.003
5,-92,42,0.617
5,-51,86,0.641
2,41,-88,0.712
5,-63,50,0.812
2,9,2,0.701
2,-10,-6,0.562
4,79,82,0.172
7,-65,-30,0.959
47096
