50
7,52,-43,0.148
3,77,11,0.482
8,23,30,0.77
6,32,92,0.259
5,-99,90,0.607
6,25,66,0.939
1,-69,62,0.256
3,85,51,0.512
2,-96,-15,0.151
1,-64,6,0.174
5,17,79,0.165
6,36,58,0.822
6,74,27,0.235
9,88,35,0.474
4,-46,7,0.563
1,-72,87,0.198
8,49,96,0.395
6,0,73,0.597
2,-77,100,0.858
5,68,11,0.557
5,35,-63,0.437
3,27,79,0.675
3,-28,-67,0.349
5,-84,-57,0.353
8,20,-92,0.645
2,69,76,0.024
7,4,-30,0.422
4,56,-8,0.777
8,58,-88,0.606
5,46,-63,0.485
8,-55,-91,0.162
8,-44,-58,0.192
1,-90,-39,0.252
4,36,-56,0.765
6,55,-87,0.563
5,-94,64,0.411
7,12,70,0.382
9,-93,-32,0.811
3,18,-55,0.773
5,69,-90,0.496
1,-64,-98,0.049
6,3,92,0.245
4,24,28,0.2
6,-15,44,0.22
1,11,-41,0.323
4,-63,68,0.036
8,8,47,0.195
2,-48,-61,0.46
5,16,95,0.175
9,75,-33,0.846
10403
